"Statistics name :","City Data Basic Data(original)"
"Table Number :","0000020101"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics A Population and Households"
"Implementation date :","-","-"
"Cities, Towns and Villages :","2017/06/23"

"***","Data not available"
"-","Not applicable"
"X","Not available"

"","","","","","A1101","","A110101","","A110102","","A1102","","A110201","","A110202","","A1231","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302","","A1401","","A140101","","A140102","","A1402","","A140201","","A140202","","A1403","","A140301","","A140302","","A1404","","A140401","","A140402","","A1405","","A140501","","A140502","","A1406","","A140601","","A140602","","A1407","","A140701","","A140702","","A1408","","A140801","","A140802","","A1409","","A140901","","A140902","","A1410","","A141001","","A141002","","A1411","","A141101","","A141102","","A1412","","A141201","","A141202","","A1413","","A141301","","A141302","","A1414","","A141401","","A141402","","A1415","","A141501","","A141502","","A1416","","A141601","","A141602","","A1417","","A141701","","A141702","","A1418","","A141801","","A141802","","A1419","","A141901","","A141902","","A1420","","A142001","","A142002","","A1700","","A1801","","A180101","","A180102","","A1802","","A2101","","A210101","","A210102","","A2201","","A2301","","A4101","","A4200","","A5101","","A5102","","A6101","","A6102","","A6103","","A6104","","A6105","","A6106","","A6107","","A6108","","A7101","","A710101","","A710102","","A710201","","A710202","","A7103","","A810101","","A810102","","A810103","","A810104","","A810105","","A811102","","A8201","","A8301","","A830101","","A830102","","A8401","","A840101","","A840102","","A840103","","A8501","","A850101","","A850102","","A850103","","A9101","","A9201",""
"1980100000","1980","04204","Furukawa-shi","","57,060","","***","","***","","***","","***","","***","","***","","13,073","","***","","***","","38,867","","***","","***","","5,120","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","51","","14,808","","***","","***","","***","","***","","***","","***","","***","","***","","***","","361","","***","","***","","18,166","","33,865","","4,918","","48","","10,335","","115","","62,544","","***","","15,204","","***","","***","","***","","***","","***","","***","","7,955","","***","","***","","1,499","","615","","***","","197","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","477","","55",""
"1980100000","1980","04205","Kesennuma-shi","","68,551","","***","","***","","***","","***","","***","","***","","16,915","","***","","***","","46,033","","***","","***","","5,581","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","67","","30,686","","***","","***","","***","","***","","***","","***","","***","","***","","***","","437","","***","","***","","21,601","","45,331","","799","","712","","5,602","","1,924","","74,544","","***","","18,505","","***","","***","","***","","***","","***","","***","","11,084","","***","","***","","1,686","","701","","***","","214","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","425","","55",""
"1980100000","1980","04206","Shiroishi-shi","","41,275","","***","","***","","***","","***","","***","","***","","9,037","","***","","***","","27,440","","***","","***","","4,798","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","16,811","","***","","***","","***","","***","","***","","***","","***","","***","","***","","299","","***","","***","","13,177","","23,389","","4,048","","606","","3,265","","228","","40,114","","***","","10,787","","***","","***","","***","","***","","***","","***","","5,632","","***","","***","","850","","708","","***","","240","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","257","","35",""
"1980100000","1980","04207","Natori-shi","","49,715","","***","","***","","***","","***","","***","","***","","12,285","","***","","***","","33,488","","***","","***","","3,940","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","90","","26,496","","***","","***","","***","","***","","***","","***","","***","","***","","***","","258","","***","","***","","15,771","","21,237","","12,546","","107","","6,395","","153","","43,608","","***","","12,493","","***","","***","","***","","***","","***","","***","","7,769","","***","","***","","845","","480","","***","","117","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","335","","33",""
"1980100000","1980","04208","Kakuda-shi","","33,731","","***","","***","","***","","***","","***","","***","","7,377","","***","","***","","22,111","","***","","***","","4,243","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","21","","7,445","","***","","***","","***","","***","","***","","***","","***","","***","","***","","266","","***","","***","","10,878","","18,185","","4,600","","59","","2,440","","44","","31,556","","***","","8,039","","***","","***","","***","","***","","***","","***","","3,806","","***","","***","","472","","421","","***","","94","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","211","","35",""
"1980100000","1980","04209","Tagajo-shi","","50,785","","***","","***","","***","","***","","***","","***","","13,220","","***","","***","","35,157","","***","","***","","2,408","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","221","","39,031","","***","","***","","***","","***","","***","","***","","***","","***","","***","","164","","***","","***","","16,258","","19,954","","14,368","","98","","9,340","","82","","45,741","","***","","15,539","","***","","***","","***","","***","","***","","***","","9,985","","***","","***","","2,204","","434","","***","","111","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","458","","70",""
"1980100000","1980","04210","Izumi-shi","","98,016","","***","","***","","***","","***","","***","","***","","29,003","","***","","***","","64,815","","***","","***","","4,198","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","130","","64,852","","***","","***","","***","","***","","***","","***","","***","","***","","***","","300","","***","","***","","33,784","","31,673","","32,209","","294","","6,333","","136","","71,982","","***","","28,748","","***","","***","","***","","***","","***","","***","","20,372","","***","","***","","2,873","","781","","***","","133","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","576","","107",""
"1980100000","1980","04211","Iwanuma-shi","","34,910","","***","","***","","***","","***","","***","","***","","8,676","","***","","***","","23,445","","***","","***","","2,789","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","31","","20,609","","***","","***","","***","","***","","***","","***","","***","","***","","***","","172","","***","","***","","11,338","","15,770","","7,696","","61","","6,167","","176","","33,496","","***","","9,142","","***","","***","","***","","***","","***","","***","","5,646","","***","","***","","783","","384","","***","","95","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","268","","28",""
"1980100000","1980","04212","Tome-shi","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","04213","Kurihara-shi","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","04214","Higashimatsushima-shi","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","04215","Osaki-shi","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***",""
"1980100000","1980","04301","Zao-machi","","13,833","","***","","***","","***","","***","","***","","***","","3,002","","***","","***","","9,125","","***","","***","","1,706","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","3","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","102","","***","","***","","4,098","","7,670","","2,036","","23","","848","","13","","12,635","","***","","3,244","","***","","***","","***","","***","","***","","***","","1,447","","***","","***","","197","","186","","***","","56","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","98","","14",""
"1980100000","1980","04302","Shichikashuku-machi","","2,926","","***","","***","","***","","***","","***","","***","","476","","***","","***","","1,925","","***","","***","","525","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","0","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","34","","***","","***","","900","","1,744","","202","","75","","121","","33","","2,803","","***","","850","","***","","***","","***","","***","","***","","***","","366","","***","","***","","72","","68","","***","","25","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","12","","0",""
"1980100000","1980","04321","Ogawara-machi","","19,332","","***","","***","","***","","***","","***","","***","","4,620","","***","","***","","12,970","","***","","***","","1,742","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","22","","8,519","","***","","***","","***","","***","","***","","***","","***","","***","","***","","115","","***","","***","","6,168","","8,466","","4,629","","65","","4,419","","36","","19,093","","***","","5,218","","***","","***","","***","","***","","***","","***","","3,219","","***","","***","","493","","277","","***","","98","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","140","","20",""
"1980100000","1980","04322","Murata-machi","","13,370","","***","","***","","***","","***","","***","","***","","2,906","","***","","***","","8,850","","***","","***","","1,614","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","2","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","130","","***","","***","","3,936","","7,003","","2,389","","13","","1,174","","36","","12,178","","***","","3,038","","***","","***","","***","","***","","***","","***","","1,292","","***","","***","","135","","144","","***","","39","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","78","","6",""
"1980100000","1980","04323","Shibata-machi","","32,106","","***","","***","","***","","***","","***","","***","","7,585","","***","","***","","21,845","","***","","***","","2,676","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","39","","11,157","","***","","***","","***","","***","","***","","***","","***","","***","","***","","170","","***","","***","","10,316","","14,240","","7,476","","62","","4,067","","55","","28,690","","***","","8,839","","***","","***","","***","","***","","***","","***","","5,111","","***","","***","","1,154","","428","","***","","102","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","231","","20",""
"1980100000","1980","04324","Kawasaki-machi","","10,636","","***","","***","","***","","***","","***","","***","","2,416","","***","","***","","6,935","","***","","***","","1,285","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","7","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","76","","***","","***","","3,245","","6,155","","1,208","","19","","384","","21","","9,814","","***","","2,468","","***","","***","","***","","***","","***","","***","","1,059","","***","","***","","126","","104","","***","","37","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","84","","9",""
"1980100000","1980","04341","Marumori-machi","","20,849","","***","","***","","***","","***","","***","","***","","4,310","","***","","***","","13,424","","***","","***","","3,115","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","11","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","197","","***","","***","","6,313","","11,448","","2,659","","378","","493","","47","","18,352","","***","","4,850","","***","","***","","***","","***","","***","","***","","1,933","","***","","***","","244","","351","","***","","96","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","104","","9",""
"1980100000","1980","04361","Watari-cho","","27,822","","***","","***","","***","","***","","***","","***","","6,324","","***","","***","","18,528","","***","","***","","2,970","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","24","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","177","","***","","***","","8,870","","12,618","","6,208","","86","","1,595","","112","","23,235","","***","","6,319","","***","","***","","***","","***","","***","","***","","3,274","","***","","***","","219","","317","","***","","66","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","151","","17",""
"1980100000","1980","04362","Yamamoto-cho","","17,630","","***","","***","","***","","***","","***","","***","","4,025","","***","","***","","11,536","","***","","***","","2,069","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","14","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","129","","***","","***","","5,570","","8,180","","3,634","","230","","499","","251","","14,516","","***","","4,057","","***","","***","","***","","***","","***","","***","","2,048","","***","","***","","224","","235","","***","","49","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","105","","16",""
"1980100000","1980","04382","Akiu-machi","","5,075","","***","","***","","***","","***","","***","","***","","1,152","","***","","***","","3,412","","***","","***","","511","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","19","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","46","","***","","***","","1,367","","2,624","","1,077","","3","","519","","34","","4,548","","***","","1,364","","***","","***","","***","","***","","***","","***","","478","","***","","***","","112","","52","","***","","17","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","41","","3",""
"1980100000","1980","04401","Matsushima-machi","","17,246","","***","","***","","***","","***","","***","","***","","3,809","","***","","***","","11,845","","***","","***","","1,592","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","20","","5,770","","***","","***","","***","","***","","***","","***","","***","","***","","***","","106","","***","","***","","5,338","","7,242","","4,599","","35","","1,519","","12","","14,143","","***","","4,365","","***","","***","","***","","***","","***","","***","","2,465","","***","","***","","278","","207","","***","","68","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","93","","18",""
"1980100000","1980","04404","Shichigahama-machi","","16,393","","***","","***","","***","","***","","***","","***","","3,938","","***","","***","","11,219","","***","","***","","1,236","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","10","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","99","","***","","***","","5,331","","5,966","","5,042","","37","","733","","32","","12,079","","***","","4,101","","***","","***","","***","","***","","***","","***","","2,350","","***","","***","","234","","89","","***","","23","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","104","","15",""
"1980100000","1980","04405","Miyagi-machi","","24,077","","***","","***","","***","","***","","***","","***","","5,758","","***","","***","","16,440","","***","","***","","1,879","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","16","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","126","","***","","***","","7,551","","9,462","","6,951","","53","","1,474","","63","","18,610","","***","","6,392","","***","","***","","***","","***","","***","","***","","3,786","","***","","***","","536","","278","","***","","62","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","149","","24",""
"1980100000","1980","04406","Rifu-cho","","11,201","","***","","***","","***","","***","","***","","***","","2,666","","***","","***","","7,620","","***","","***","","915","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","11","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","59","","***","","***","","3,616","","3,276","","4,284","","14","","1,199","","18","","8,120","","***","","2,737","","***","","***","","***","","***","","***","","***","","1,575","","***","","***","","122","","95","","***","","23","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","84","","12",""
"1980100000","1980","04421","Taiwa-cho","","18,662","","***","","***","","***","","***","","***","","***","","3,877","","***","","***","","12,879","","***","","***","","1,906","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","24","","6,040","","***","","***","","***","","***","","***","","***","","***","","***","","***","","119","","***","","***","","6,205","","9,479","","2,951","","2","","2,225","","20","","17,954","","***","","4,160","","***","","***","","***","","***","","***","","***","","1,860","","***","","***","","247","","157","","***","","41","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","129","","21",""
"1980100000","1980","04422","Osato-cho","","10,172","","***","","***","","***","","***","","***","","***","","2,174","","***","","***","","6,809","","***","","***","","1,189","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","5","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","87","","***","","***","","3,448","","4,705","","2,014","","0","","589","","14","","8,761","","***","","2,170","","***","","***","","***","","***","","***","","***","","791","","***","","***","","73","","77","","***","","21","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","89","","14",""
"1980100000","1980","04423","Tomiya-machi","","13,930","","***","","***","","***","","***","","***","","***","","4,264","","***","","***","","8,929","","***","","***","","737","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","8","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","50","","***","","***","","4,859","","4,354","","4,696","","13","","844","","9","","10,074","","***","","3,559","","***","","***","","***","","***","","***","","***","","2,506","","***","","***","","154","","83","","***","","12","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","64","","14",""
"1980100000","1980","04424","Ohira-mura","","5,200","","***","","***","","***","","***","","***","","***","","1,157","","***","","***","","3,475","","***","","***","","568","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","3","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","36","","***","","***","","1,553","","2,523","","1,119","","4","","682","","7","","4,766","","***","","1,185","","***","","***","","***","","***","","***","","***","","551","","***","","***","","41","","61","","***","","10","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","31","","2",""
"1980100000","1980","04441","Nakaniida-machi","","14,503","","***","","***","","***","","***","","***","","***","","3,277","","***","","***","","9,631","","***","","***","","1,595","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","3","","5,130","","***","","***","","***","","***","","***","","***","","***","","***","","***","","121","","***","","***","","4,434","","7,954","","2,091","","13","","2,641","","24","","15,064","","***","","3,622","","***","","***","","***","","***","","***","","***","","1,789","","***","","***","","273","","168","","***","","58","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","91","","15",""
"1980100000","1980","04442","Onoda-machi","","9,414","","***","","***","","***","","***","","***","","***","","1,949","","***","","***","","6,308","","***","","***","","1,157","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","4","","-","","***","","***","","***","","***","","***","","***","","***","","***","","***","","85","","***","","***","","2,963","","4,548","","1,885","","16","","428","","15","","7,956","","***","","2,141","","***","","***","","***","","***","","***","","***","","787","","***","","***","","88","","90","","***","","27","","***","","***","","***","","***","","***","","***","","***","","***","","***","","***","","54","","10",""
